,step,vertical_idx,horizontal_idx
0,1,3,3
1,7,2,3
2,14,4,4
3,20,2,2
4,34,4,4
5,36,1,0
6,38,1,4
7,42,1,3
8,46,4,3
9,51,1,4
10,52,4,4
11,53,3,3
12,54,4,3
13,63,1,1
14,63,2,1
15,64,0,3
16,67,3,3
17,71,3,4
18,76,0,4
19,80,1,2
20,82,1,4
21,83,2,1
22,91,3,3
23,100,2,3
24,109,0,3
25,110,0,4
26,110,3,2
27,112,4,4
28,114,1,1
29,119,3,1
30,123,3,3
31,126,3,2
32,127,4,2
33,138,4,1
34,143,1,3
35,146,3,1
36,151,0,2
37,152,0,0
38,153,0,1
39,154,4,4
40,157,1,1
41,157,4,1
42,158,4,4
43,165,4,1
44,167,2,3
45,167,2,4
46,167,4,4
47,170,3,4
48,172,0,3
49,173,3,3
50,174,0,2
51,174,4,0
52,175,2,3
53,175,3,1
54,179,3,4
55,180,3,2
56,185,3,2
57,199,1,2
